"No.","Time","Source","Destination","Protocol","Length","Info"
"1407","7.563304397","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=972741 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"1408","7.563307543","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=923781 Win=62815 Len=0"
"1409","7.563308915","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=974101 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"1410","7.563313995","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=975461 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"1411","7.563318915","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=976821 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"1412","7.563321900","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=925141 Win=61455 Len=0"
"1413","7.563324025","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=978181 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"1414","7.563329245","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=926501 Win=60095 Len=0"
"1415","7.563329545","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=979541 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"1416","7.563337541","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=980901 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"1417","7.563344674","10.0.0.1","10.1.0.2","TCP","847","36011  >  9999 [ACK] Seq=982261 Ack=1 Win=65535 Len=765 [TCP segment of a reassembled PDU]"
"1418","7.563345195","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=927861 Win=58735 Len=0"
"1419","7.563351949","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=983026 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
